Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
242	259393	F26E4.4	Protein F26E4.4	Caenorhabditis elegans	Cel.18869	F26E4.4			increase	RNA interference in adulthood resulted in a 17% mean lifespan extension.	anti		17	RNA interference	
243	3565338	F26E4.6	Protein F26E4.6	Caenorhabditis elegans	Cel.23120	F26E4.6			increase	RNA interference extends lifespan.	anti			RNA interference	
243	3565338	F26E4.6	Protein F26E4.6	Caenorhabditis elegans	Cel.23120	F26E4.6			increase	Post developmental RNAi resulted in lifespan extension.	anti			RNA interference	
243	3565338	F26E4.6	Protein F26E4.6	Caenorhabditis elegans	Cel.23120	F26E4.6			increase	RNAi resulted in a lifespan extension.	anti			RNA interference	
243	3565338	F26E4.6	Protein F26E4.6	Caenorhabditis elegans	Cel.23120	F26E4.6			increase	RNAi resulted in a 60% mean lifespan extension.	anti		60	RNA interference	
244	172111	F28B3.5	Protein F28B3.5	Caenorhabditis elegans	Cel.18848	F28B3.5			increase	RNA interference extends lifespan by about 30%.	anti		30	RNA interference	
249	177549	F33D4.5	Protein F33D4.5	Caenorhabditis elegans	Cel.13029	F33D4.5			increase	RNA interference increased mean lifespan by 45%.	anti		45	RNA interference	
249	177549	F33D4.5	Protein F33D4.5	Caenorhabditis elegans	Cel.13029	F33D4.5			increase	Knockdown of mrpl-1 increased lifespan by 57%.	anti		57	RNA interference	
250	185238	F33H2.8	Protein F33H2.8	Caenorhabditis elegans	Cel.25000	F33H2.8			decrease	RNA interference decreased median lifespan by 36% in wild type animals, 77% in a daf-2 background and 18% in daf-2/daf-16 double mutants.	pro		36	RNA interference	
251	174229	F35D2.3	Protein F35D2.3	Caenorhabditis elegans	Cel.17232	F35D2.3			increase	RNA interference extends lifespan.	anti			RNA interference	
934	172692	F36A2.7	hypothetical protein	Caenorhabditis elegans		F36A2.7			increase	Extended  mean life span (50-80% in different backgrounds) when inactivated .	anti		80	RNA interference post development	
252	177145	F37C4.4	Protein F37C4.4	Caenorhabditis elegans	Cel.12998	F37C4.4			decrease	RNA interference decreased median lifespan by 34% in a daf-2 background and 11% in daf-2/daf-16 double mutants.	pro			RNA interference	
254	174702	F40F8.5	Protein F40F8.5	Caenorhabditis elegans	Cel.34802	F40F8.5			increase	RNA interference extends lifespan.	anti			RNA interference	
256	185645	F42A6.1	hypothetical protein	Caenorhabditis elegans	Cel.12960				increase	RNA interference increased mean lifespan by 22%.	anti		22	RNA interference	
257	181214	F42G10.1	Protein F42G10.1	Caenorhabditis elegans	Cel.5236	F42G10.1			increase	RNA interference extends lifespan.	anti			RNA interference	
1948	176769	F45G2.8	Mitochondrial import inner membrane translocase subunit tim-16	Caenorhabditis elegans	.10464				decrease	RNA interference of F45G2.8 shortens mean lifespan (by 7.9%) compared to wild-type worms.	pro		7.9	RNA interference	
935	174992	F45H10.2	hypothetical protein	Caenorhabditis elegans		F45H10.2			increase	40% mean lifespan extension	anti		40	RNA interference	
261	177752	F49C12.9	Protein F49C12.9	Caenorhabditis elegans	Cel.5678	F49C12.9			increase	RNA interference increased mean lifespan by 19%.	anti		19	RNA interference	
265	178381	F55B11.1	Protein F55B11.1	Caenorhabditis elegans	Cel.17088	F55B11.1			increase	RNA interference extends lifespan.	anti			RNA interference	
266	178383	F55B11.3	Protein F55B11.3	Caenorhabditis elegans	Cel.22428	F55B11.3			increase	RNA interference extends lifespan.	anti			RNA interference	
267	3565591	F55B11.5	Protein F55B11.5	Caenorhabditis elegans	Cel.31005	F55B11.5			increase	RNA interference extends lifespan.	anti			RNA interference	
937	6418597	F56H1.7	F56H1.7	Caenorhabditis elegans					decrease	oxy-5 mutant showed an increased sensitivity to oxygen and decreased longevity.The mean and maximum life spans in oxy-5 were 25% and 33% shorter, respectively, than those of WT	pro	33	25	Mutations	
271	172376	F57B10.3	Protein F57B10.3	Caenorhabditis elegans	Cel.8669	F57B10.3			increase	RNA interference extends lifespan by about 20%.	anti		20	RNA interference	
271	172376	F57B10.3	Protein F57B10.3	Caenorhabditis elegans	Cel.8669	F57B10.3			increase	RNAi resulted in a 9% mean lifespan extension.	anti		9	RNA interference	
938	177386	F58F9.7	hypothetical protein	Caenorhabditis elegans		F58F9.7			increase	15% mean lifespan extension	anti		15	RNA interference post development	
2069	177819	fat-4	Delta(5) fatty acid desaturase fat-4	Caenorhabditis elegans	18374				increase	RNA interference of fat-4 resulted in lifespan extension (mean lifespan 25% higher). 	anti		25	RNA interference	
278	179100	fat-7	FATty acid desaturase	Caenorhabditis elegans	Cel.3272	F10D2.9			decrease	RNA interference shortened lifespan and altered fatty acid composition.	pro			RNA interference	
279	266822	fbp-1	fructose-1,6-bisphosphatase	Caenorhabditis elegans	Cel.6833	K07A3.1			increase	RNA interference extended mean lifespan by 10% in daf-2 mutants.	anti			RNA interference	
281	189476	fbxa-121	F-box A protein	Caenorhabditis elegans					decrease	RNA interference in adulthood shortened the extended lifespan of daf-2(mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.	pro			RNA interference	
940	185954	fbxa-188	F-box A protein	Caenorhabditis elegans		F47H4.8			increase	13% mean lifespan extension	anti		13	RNA interference post development	
766	190489	fbxa-220	F-box A protein	Caenorhabditis elegans	Cel.28362	Y66A7A.1			increase	RNA interference increased mean lifespan by 25%.	anti		25	RNA interference	
1912	173525	fgt-1	Facilitated Glucose Transporter	Caenorhabditis elegans	.22733				increase	RNA interference of fgt-1 leads to an extended lifespan equivalent, but not additive, to that observed in daf-2 and age-1 mutant worms. Additionally, high-glucose levels reduce the lifespan of worms and this effect is not reduced by fgt-1 knockdown.	anti	20	25	RNA interference	
2120	177340	fkh-7	ForKHead transcription factor family	Caenorhabditis elegans					increase	In a large scale screen downregulation of fkh-7 in worms increased mean lifespan by >5%. 	anti			RNA interference	
2154	177958	fmo-2	Dimethylaniline monooxygenase [N-oxide-forming]	Caenorhabditis elegans					increase	Worms overexpressing fmo-2 demonstrated a 20% increase in mean lifespan when compared to the wild type. This pro-longevity effect was dependent on tph-1 in neurons and the serotonin receptor ser-7 in the intestine.	pro		20	Overexpression	
287	174002	frh-1	FRataxin (involved in human Friedrich's ataxia) Homolog	Caenorhabditis elegans	Cel.20708	F59G1.7			increase	Inactivation by RNA interference resulted in small body size, reduced fertility, altered responses to oxidative stress and life-extension.	anti			RNA interference	
287	174002	frh-1	FRataxin (involved in human Friedrich's ataxia) Homolog	Caenorhabditis elegans	Cel.20708	F59G1.7			decrease	Upon RNAi lifespan is significantly reduced, and worms have increased sensitivity to oxidative stress.	pro			RNA interference	
287	174002	frh-1	FRataxin (involved in human Friedrich's ataxia) Homolog	Caenorhabditis elegans	Cel.20708	F59G1.7			increase	While complete knock-out of FRH-1 results in arrested development or short lifespan, partial deficiency (without completely abolishing its expression) extends worm lifespan in a p53 dependent manner. It was however observed that a substantial frataxin suppression (more than 50% compared to wild-type) is required to extend C. elegans lifespan, while lower suppression levels displaying unsignificantly different longevity phenotypes.	anti	18	25	RNA interference	
288	181348	ftt-2	Fourteen-Three-Three family	Caenorhabditis elegans	Cel.17467	F52D10.3			increase	Overexpression extended lifespan by about 30%. Life-extension was suppressed by daf-16 inactivation.	pro		30	Overexpression	
288	181348	ftt-2	Fourteen-Three-Three family	Caenorhabditis elegans	Cel.17467	F52D10.3			decrease	Post developmental RNAi resulted in a 26% mean lifespan reduction in wild type though no significant changes in maximal lifespan were observed.	pro		26	RNA interference	
941	266859	fzy-1	FiZzY (CDC20 protein family) homolog	Caenorhabditis elegans		ZK177.6			increase	25% mean lifespan extension	anti		25	RNA interference	
292	181646	gas-1	General Anaesthetic Sensitivity abnormal	Caenorhabditis elegans	Cel.8011	K09A9.5			decrease	Mutation results hypersensitivity to volatile anesthetics and oxygen and reduced lifespan.				Mutation	
1961	178237	gcy-18	Guanylyl CYclase	Caenorhabditis elegans	12777				increase	RNA interference of gcy-18 in worms extends lifespan (mean lifespan is ~25% longer).	anti		25	RNA interference	
296	172051	gcy-28	Guanylyl CYclase	Caenorhabditis elegans	Cel.18007	T01A4.1			increase	RNA interference extended lifespan.	anti			RNA interference	
297	191644	gcy-6	Guanylyl CYclase	Caenorhabditis elegans	Cel.3267	B0024.6			increase	RNA interference of gcy-6 in worms extends lifespan (mean lifespan is ~25% longer).	anti		25	RNA interference	
2043	178130	gdh-1	Glutamate dehydrogenase	Caenorhabditis elegans	17808				increase	RNA interference of ZK829.4 results in an increased lifespan.	anti		11.1	RNA interference	
298	178402	gdi-1	GDI (RabGDP Dissociation Inhibitor) family	Caenorhabditis elegans	Cel.17646	Y57G11C.10			decrease	RNA interference decreased median lifespan by 34% in daf-2 mutants.	pro			RNA interference	
299	180951	gei-15	GEX Interacting protein	Caenorhabditis elegans	Cel.808				increase	RNA interference in adulthood extended mean lifespan by 13%.	anti		13	RNA interference	
1785	175195	gei-4	Protein GEI-4	Caenorhabditis elegans					decrease	Post-developmental RNAi of gei-4 shortens lifespan of wild type worms.	pro	38	27	Post-developmental RNA interference	
306	177358	glf-1	GaLactoFuranose synthesis (UGM, UDP-galactopyranose mutase)	Caenorhabditis elegans	Cel.12759	H04M03.4			decrease	RNA interference decreased median lifespan by 49% in wild type animals, 76% in a daf-2 background and 33% in daf-2/daf-16 double mutants.	pro		49	RNA interference	
308	176286	glp-1	abnormal Germ Line Proliferation	Caenorhabditis elegans	Cel.6196	F02A9.6			increase	Mutations result in defects in germ-line proliferation and extension of lifespan by about 30%.	anti		30	Mutation	
308	176286	glp-1	abnormal Germ Line Proliferation	Caenorhabditis elegans	Cel.6196	F02A9.6			increase	Post developmental RNAi resulted in a 33% mean lifespan extension.	anti		33	RNA interference	
942	172505	goa-1	G protein,O, Alpha subunit	Caenorhabditis elegans		C26C6.2			decrease	33% median lifespan reduction compared to wild type	pro		33	Mutation	
309	179546	gpa-1	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3259	T19C4.6			increase	Up to 10% maximum lifespan extension in gpa-1 knockouts. Loss-of-function of gpa-1 did not extend the lifespan of daf-2 mutants.	anti	10		Knockout	
309	179546	gpa-1	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3259	T19C4.6			decrease	A 10% decrease in maximum lifespan when gpa-1 is overexpressed.	anti	10		Overexpression	
310	179075	gpa-10	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3255	C55H1.2			decrease	Decrease in mean lifespan by 10% in knockouts.	pro		10	Knockout	
311	173759	gpa-11	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.14877	C16A11.1			increase	Increase in mean lifespan by up to 25% when gpa-11 is overexpressed and a slight (5%) but non-significant decrease in lifespan in knockouts. Lifespan extension was dependent on daf-16. Loss-of-function of odr-3 and extra copies of gpa-11 synergistically extended lifespan. Extra copies of gpa-11 shortened the lifespan of daf-2 mutants. Loss-of-function of gpa-11 in daf-2 mutants further extended lifespan.	pro		25	Overexpression	
312	172645	gpa-15	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.18556	M04C7.1			decrease	No change in lifespan in knockouts and a 20% decrease in mean lifespan when gpa-15 is overexpressed.	anti		20	Overexpression	
313	179219	gpa-2	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3258	F38E1.5			decrease	Reduction in mean lifespan of 30% in gpa-2 knockouts.	pro		30	Knockout	
313	179219	gpa-2	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3258	F38E1.5			increase	Mean lifespan extension of 12% when gpa-2 is overexpressed.	pro		12	Overexpression	
314	179319	gpa-3	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.19386	E02C12.5			decrease	Reduction in mean lifespan of 15% in knockouts and no change when gpa-3 is overexpressed.	pro		15	Knockout	
315	180527	gpa-5	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.807	F53B1.7			increase	Increase in maximum lifespan by up to 10% in gpa-5 knockouts.	anti	10		Knockout	
315	180527	gpa-5	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.807	F53B1.7			decrease	Decrease in maximum lifespan of 10% when gpa-5 is overexpressed.	anti	10		Overexpression	
316	181442	gpa-6	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.806	F48C11.1			increase	Increase in mean lifespan by up to 10% in knockouts and no change when gpa-6 is overexpressed.	anti		10	Knockout	
317	179731	gpa-8	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3257	F56H9.3			increase	Increase in mean lifespan by up to 20% in knockouts.	anti		20	Knockout	
317	179731	gpa-8	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.3257	F56H9.3			decrease	Decrease in mean lifespan of up to 10% when gpa-8 is overexpressed.	anti		10	Overexpression	
318	191659	gpa-9	G Protein, Alpha subunit	Caenorhabditis elegans	Cel.28724	F56H9.4				Increase in maximum lifespan by up to 50% in knockouts and decrease by 20% in mean lifespan, but surprisingly increase in maximum lifespan by up to 20%, when gpa-9 is overexpressed.				Knockout and overexpression	
320	181424	gpc-1	G Protein, Gamma subunit	Caenorhabditis elegans	Cel.20513	K02A4.2			increase	Up to 10% increase in mean lifespan in knockouts, dependent on daf-16.	anti		10	Knockout	
321	3565504	gpd-2	GPD (glyceraldehyde 3-phosphate dehydrogenase)	Caenorhabditis elegans	Cel.23529	K10B3.8			increase	RNA interference increased mean lifespan by 6% in daf-2 mutants.	anti			RNA interference	
1778	180601	gpd-3	Protein GPD-3	Caenorhabditis elegans					increase	Post-developmental RNAi of gpd-3 extends lifespan of wild type worms.	anti	0	5.3	Post-developmental RNA interference	
322	173227	gpi-1	Glucose-6-Phosphate Isomerase	Caenorhabditis elegans	Cel.19747	Y87G2A.8			increase	RNA interference extends lifespan.	anti			RNA interference	
325	176843	grl-19	GRound-Like (grd related)	Caenorhabditis elegans	Cel.29158	R02D3.6			increase	RNA interference increased mean lifespan by 27%.	anti		27	RNA interference	
933	176827	grld-1	hypothetical protein	Caenorhabditis elegans		F29C4.7			increase	Extended mean life span (10% in different backgrounds) when inactivated 	anti		10	RNA interference post development	
326	175725	gro-1	abnormal GROwth rate	Caenorhabditis elegans	Cel.19334	ZC395.6			increase	Mutation extends lifespan extension by 29%.			29	Mutation	
943	171687	gsa-1	G protein, Subunit Alpha	Caenorhabditis elegans		R06A10.2			decrease	84% mean decrease in lifespan	pro		84	RNA interference	
328	178725	gst-10	Glutathione S-Transferase	Caenorhabditis elegans	Cel.34291	Y45G12C.2			increase	Overexpression resulted in transgenic animals with enhanced stress resistance and increased lifespan by 13-22%.	pro		22	Overexpression	
328	178725	gst-10	Glutathione S-Transferase	Caenorhabditis elegans	Cel.34291	Y45G12C.2			decrease	RNAi resulted in a decreased maximum lifespan.	pro			RNA interference	
329	187537	gst-5	Glutathione S-Transferase	Caenorhabditis elegans	Cel.14876	R03D7.6			decrease	RNA interference decreased maximum lifespan.	pro			RNA interference	
